"eventId","id","name","order"
53651,1,"WES Christmas Qualifier",1
53681,1,"Division 1",1
53840,1,"Division 1",1
53867,1,"Default",1
53868,1,"Division 1",1
53871,1,"Division 1",1
53872,1,"Division 1",1
53982,1,"Division 1",1
54015,1,"Division 1",1
54028,1,"Division 1",1
54052,1,"Division 1",1
54056,1,"Division 1",1
54061,1,"Division 1",1
54093,1,"Division 1",1
54096,1,"Division 1",1
54109,1,"Division 1",1
54156,1,"Division 1",1
54191,1,"Division 1",1
54208,1,"Division 1",1
54219,1,"Division 1",1
54317,1,"Division 1",1
54342,1,"Division 1",1
54390,1,"Default",1
54391,1,"Division 1",1
54545,1,"Division 1",1
54739,1,"Division 1",1
54765,1,"Division 1",1
54771,1,"Division 1",1
55084,1,"Division 1",1
54229,1,"Division 1",1
55174,1,"Division 1",1
51508,1,"SCORE Division",1
54547,1,"Division 1",1
51507,1,"Default Division",1
54556,1,"Elementary",1
54580,1,"Division 1",1
51509,1,"SCORE Division",1
51758,1,"Division 1",1
54557,1,"Elementary",1
54633,1,"Default",1
54741,1,"Division 1",1
52182,1,"Division 1",1
52668,1,"Division 1",1
53224,1,"Division 1",1
53682,1,"Division 1",1
54264,1,"Division 1",1
51610,1,"Division 1",1
52008,1,"Default Division",1
52058,1,"ES Patriot",1
52059,1,"MS Patriot",1
52536,1,"Division 1",1
52577,1,"Division 1",1
52856,1,"Division 1",1
52887,1,"Division 1",1
52900,1,"Division 1",1
53106,1,"Division 1",1
53130,1,"Division 1",1
53168,1,"Division 1",1
53217,1,"Division 1",1
53536,1,"BFMS",1
53626,1,"Division 1",1
53718,1,"Division 1",1
53822,1,"Default Division",1
54141,1,"Division 1",1
54262,1,"Default Division",1
54284,1,"Division 1",1
54410,1,"Default Division",1
54472,1,"Division 1",1
54473,1,"Division 1",1
54514,1,"Default",1
54582,1,"Division 1",1
54748,1,"Division 1",1
54762,1,"Division 1",1
54768,1,"Division 1",1
54963,1,"Division 1",1
52624,1,"Division 1",1
53721,1,"Division 1",1
53771,1,"Division 1",1
53942,1,"APPLE",1
53942,2,"KIWI",2
