"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
36963836,"driver",,5,130,2,52236,"8193A",181
36963837,"programming",,5,113,3,52236,"8193A",181
36963838,"driver",,6,124,3,52236,"8193C",181
36963839,"programming",,6,99,1,52236,"8193C",181
36963840,"driver",,7,113,3,52236,"68868B",181
36963841,"programming",,7,102,2,52236,"68868B",181
36963842,"driver",,8,101,3,52236,"4275A",181
36963843,"programming",,8,97,2,52236,"4275A",181
36963844,"driver",,9,115,1,52236,"56666A",181
36963845,"programming",,9,78,1,52236,"56666A",181
36963846,"driver",,10,78,1,52236,"13258A",181
36963847,"programming",,10,58,1,52236,"13258A",181
36963848,"driver",,11,73,3,52236,"4413A",181
36963849,"programming",,11,40,1,52236,"4413A",181
36963850,"driver",,12,107,2,52236,"54009B",181
36963851,"programming",,12,0,0,52236,"54009B",181
36963852,"driver",,13,107,1,52236,"54003A",181
36963853,"programming",,13,0,0,52236,"54003A",181
36963854,"driver",,14,101,1,52236,"56787K",181
36963855,"programming",,14,0,1,52236,"56787K",181
36963856,"driver",,15,85,1,52236,"86520Y",181
36963857,"programming",,15,0,0,52236,"86520Y",181
36963858,"driver",,16,0,0,52236,"56666H",181
36963859,"programming",,16,83,1,52236,"56666H",181
36963860,"driver",,17,78,1,52236,"76979W",181
36963861,"programming",,17,5,1,52236,"76979W",181
36963862,"driver",,18,69,2,52236,"50009Y",181
36963863,"programming",,18,0,0,52236,"50009Y",181
36963864,"driver",,19,67,1,52236,"66631H",181
36963865,"programming",,19,0,0,52236,"66631H",181
36963866,"driver",,20,63,3,52236,"27512B",181
36963867,"programming",,20,0,0,52236,"27512B",181
36963868,"driver",,21,62,2,52236,"27512A",181
36963869,"programming",,21,0,0,52236,"27512A",181
36963870,"driver",,22,61,1,52236,"54001B",181
36963871,"programming",,22,0,0,52236,"54001B",181
36963872,"driver",,23,61,1,52236,"60606X",181
36963873,"programming",,23,0,0,52236,"60606X",181
36963874,"driver",,24,61,1,52236,"71030A",181
36963875,"programming",,24,0,0,52236,"71030A",181
36963876,"driver",,25,44,1,52236,"80088A",181
36963877,"programming",,25,0,0,52236,"80088A",181
36963878,"driver",,26,37,1,52236,"18190C",181
36963879,"programming",,26,0,0,52236,"18190C",181
36963880,"driver",,27,30,1,52236,"5864E",181
36963881,"programming",,27,0,0,52236,"5864E",181
36963882,"driver",,28,24,1,52236,"18345A",181
36963883,"programming",,28,0,0,52236,"18345A",181
36963884,"driver",,29,12,1,52236,"68424D",181
36963885,"programming",,29,0,0,52236,"68424D",181
36959594,"driver",,1,137,3,52238,"60066S",181
36959595,"programming",,1,120,3,52238,"60066S",181
36959596,"driver",,2,147,3,52238,"9698B",181
36959597,"programming",,2,107,3,52238,"9698B",181
36959598,"driver",,3,104,3,52238,"54001Z",181
36959599,"programming",,3,112,1,52238,"54001Z",181
36959600,"driver",,4,106,1,52238,"9698V",181
36959601,"programming",,4,89,1,52238,"9698V",181
36959602,"driver",,5,95,3,52238,"4815A",181
36959603,"programming",,5,98,3,52238,"4815A",181
36959604,"driver",,6,76,2,52238,"18190A",181
36959605,"programming",,6,98,3,52238,"18190A",181
36959606,"driver",,7,63,1,52238,"5868G",181
36959607,"programming",,7,76,2,52238,"5868G",181
36959608,"driver",,8,84,3,52238,"68424A",181
36959609,"programming",,8,49,3,52238,"68424A",181
36959610,"driver",,9,116,1,52238,"999D",181
36959611,"programming",,9,0,0,52238,"999D",181
36959612,"driver",,10,88,1,52238,"9416U",181
36959613,"programming",,10,0,0,52238,"9416U",181
36959614,"driver",,11,77,1,52238,"54001A",181
36959615,"programming",,11,0,0,52238,"54001A",181
36959616,"driver",,12,68,2,52238,"10368A",181
36959617,"programming",,12,0,0,52238,"10368A",181
36959618,"driver",,13,68,2,52238,"95271A",181
36959619,"programming",,13,0,0,52238,"95271A",181
36959620,"driver",,14,66,1,52238,"18190B",181
36959621,"programming",,14,0,0,52238,"18190B",181
36959622,"driver",,15,0,0,52238,"71030H",181
36959623,"programming",,15,60,1,52238,"71030H",181
36959624,"driver",,16,53,1,52238,"16007A",181
36959625,"programming",,16,0,0,52238,"16007A",181
36959626,"driver",,17,42,1,52238,"71467A",181
36959627,"programming",,17,0,0,52238,"71467A",181
36959628,"driver",,18,19,1,52238,"25353A",181
