"id","type","division","rank","score","attempts","eventId","teamName","seasonId"
40152381,"programming",,23,0,0,52043,"12861C",180
40152382,"driver",,24,74,2,52043,"71888E",180
40152383,"programming",,24,0,0,52043,"71888E",180
40152384,"driver",,25,74,1,52043,"5888D",180
40152385,"programming",,25,0,0,52043,"5888D",180
40152386,"driver",,26,73,1,52043,"72333V",180
40152387,"programming",,26,0,0,52043,"72333V",180
40152388,"driver",,27,57,3,52043,"88299E",180
40152389,"programming",,27,15,3,52043,"88299E",180
40152390,"driver",,28,72,3,52043,"18533D",180
40152391,"programming",,28,0,0,52043,"18533D",180
40152392,"driver",,29,71,1,52043,"11012A",180
40152393,"programming",,29,0,0,52043,"11012A",180
40152394,"driver",,30,70,2,52043,"66186A",180
40152395,"programming",,30,0,0,52043,"66186A",180
40152396,"driver",,31,70,1,52043,"12861A",180
40152397,"programming",,31,0,0,52043,"12861A",180
40152398,"driver",,32,69,2,52043,"6788B",180
40152399,"programming",,32,0,0,52043,"6788B",180
40152400,"driver",,33,38,2,52043,"27093C",180
40152401,"programming",,33,30,1,52043,"27093C",180
40152402,"driver",,34,68,2,52043,"6788A",180
40152403,"programming",,34,0,0,52043,"6788A",180
40152404,"driver",,35,67,1,52043,"12861D",180
40152405,"programming",,35,0,0,52043,"12861D",180
40152406,"driver",,36,66,2,52043,"25889A",180
40152407,"programming",,36,0,0,52043,"25889A",180
40152408,"driver",,37,66,1,52043,"27103A",180
40152409,"programming",,37,0,0,52043,"27103A",180
40152410,"driver",,38,47,1,52043,"2112A",180
40152411,"programming",,38,18,1,52043,"2112A",180
40152412,"driver",,39,65,3,52043,"6788C",180
40152413,"programming",,39,0,0,52043,"6788C",180
40152414,"driver",,40,44,1,52043,"7342X",180
40152415,"programming",,40,20,1,52043,"7342X",180
40152416,"driver",,41,62,3,52043,"81020C",180
40152417,"programming",,41,0,0,52043,"81020C",180
40152418,"driver",,42,62,1,52043,"28180C",180
40152419,"programming",,42,0,0,52043,"28180C",180
40152420,"driver",,43,61,2,52043,"27093B",180
40152421,"programming",,43,0,0,52043,"27093B",180
40152422,"driver",,44,59,3,52043,"55158A",180
40152423,"programming",,44,0,0,52043,"55158A",180
40152424,"driver",,45,57,3,52043,"18500C",180
40152425,"programming",,45,0,0,52043,"18500C",180
40152426,"driver",,46,41,2,52043,"66186B",180
40152427,"programming",,46,15,1,52043,"66186B",180
40152428,"driver",,47,55,1,52043,"69666C",180
40152429,"programming",,47,0,0,52043,"69666C",180
40152430,"driver",,48,54,2,52043,"82333A",180
40152431,"programming",,48,0,0,52043,"82333A",180
40152432,"driver",,49,33,3,52043,"88613Y",180
40152433,"programming",,49,20,3,52043,"88613Y",180
40152434,"driver",,50,53,3,52043,"66186E",180
40152435,"programming",,50,0,0,52043,"66186E",180
40152436,"driver",,51,53,3,52043,"18533C",180
40152437,"programming",,51,0,0,52043,"18533C",180
40152438,"driver",,52,51,3,52043,"18511B",180
40152439,"programming",,52,0,0,52043,"18511B",180
40152440,"driver",,53,51,3,52043,"10288A",180
40152441,"programming",,53,0,0,52043,"10288A",180
40152442,"driver",,54,51,1,52043,"671D",180
40152443,"programming",,54,0,0,52043,"671D",180
40152444,"driver",,55,50,3,52043,"18500A",180
40152445,"programming",,55,0,0,52043,"18500A",180
40152446,"driver",,56,50,2,52043,"18511A",180
40152447,"programming",,56,0,0,52043,"18511A",180
40152448,"driver",,57,49,2,52043,"11652A",180
40152449,"programming",,57,0,0,52043,"11652A",180
40152450,"driver",,58,48,2,52043,"18533B",180
40152451,"programming",,58,0,0,52043,"18533B",180
40152452,"driver",,59,48,1,52043,"69666A",180
40152453,"programming",,59,0,0,52043,"69666A",180
40152454,"driver",,59,48,1,52043,"71548D",180
40152455,"programming",,59,0,0,52043,"71548D",180
40152456,"driver",,61,47,2,52043,"71548C",180
40152457,"programming",,61,0,0,52043,"71548C",180
40152458,"driver",,62,47,3,52043,"82333B",180
40152459,"programming",,62,0,0,52043,"82333B",180
40152460,"driver",,63,46,3,52043,"71548A",180
40152461,"programming",,63,0,0,52043,"71548A",180
40152462,"driver",,64,46,3,52043,"10288E",180
40152463,"programming",,64,0,0,52043,"10288E",180
40152464,"driver",,65,46,1,52043,"66186F",180
40152465,"programming",,65,0,0,52043,"66186F",180
40152466,"driver",,65,46,1,52043,"6788D",180
40152467,"programming",,65,0,0,52043,"6788D",180
40152468,"driver",,67,31,1,52043,"71888D",180
40152469,"programming",,67,14,1,52043,"71888D",180
40152470,"driver",,68,45,2,52043,"11652C",180
40152471,"programming",,68,0,0,52043,"11652C",180
40152472,"driver",,69,45,3,52043,"10288B",180
40152473,"programming",,69,0,0,52043,"10288B",180
40152474,"driver",,70,45,3,52043,"6788E",180
40152475,"programming",,70,0,0,52043,"6788E",180
40152476,"driver",,71,45,2,52043,"75161C",180
40152477,"programming",,71,0,0,52043,"75161C",180
40152478,"driver",,72,44,2,52043,"91919X",180
40152479,"programming",,72,0,0,52043,"91919X",180
40152480,"driver",,73,44,1,52043,"69666B",180
40152481,"programming",,73,0,0,52043,"69666B",180
40152482,"driver",,74,42,3,52043,"10288C",180
40152483,"programming",,74,0,0,52043,"10288C",180
40152484,"driver",,75,42,1,52043,"13090D",180
40152485,"programming",,75,0,0,52043,"13090D",180
40152486,"driver",,75,42,1,52043,"3999A",180
40152487,"programming",,75,0,0,52043,"3999A",180
40152488,"driver",,77,41,3,52043,"18533A",180
40152489,"programming",,77,0,0,52043,"18533A",180
40152490,"driver",,78,41,3,52043,"10288D",180
40152491,"programming",,78,0,0,52043,"10288D",180
40152492,"driver",,79,41,1,52043,"3888A",180
40152493,"programming",,79,0,0,52043,"3888A",180
